COMMUNITY,TOTAL
WEST GARFIELD PARK,16475.93295
MCKINLEY PARK,15189.43902
KENWOOD,59161.97447
MORGAN PARK,18288.90625
CLEARING,18712.63742
JEFFERSON PARK,16382.03616
LOWER WEST SIDE,19432.81695
BRIDGEPORT,16708.84385
SOUTH LAWNDALE,20820.05344
ALBANY PARK,16294.87083
CHICAGO LAWN,12042.86953
DUNNING,17823.47113
WEST RIDGE,22241.92994
EDGEWATER,46046.93046
GRAND BOULEVARD,18386.25285
PULLMAN,37305.85561
WEST ELSDON,14506.41053
SOUTH CHICAGO,13393.70867
BEVERLY,23356.44563
WOODLAWN,19620.78157
DOUGLAS,48197.59218
NORTH PARK,23927.26824
ENGLEWOOD,12779.62651
MOUNT GREENWOOD,23247.73098
WASHINGTON PARK,18691.35366
BURNSIDE,17402.8
CHATHAM,17510.8041
SOUTH DEERING,24817.34949
MONTCLARE,15149.90571
EAST GARFIELD PARK,16734.56486
CALUMET HEIGHTS,15050.50615
WEST PULLMAN,10081.13541
SOUTH SHORE,24347.06908
RIVERDALE,85493.47826
AUBURN GRESHAM,15176.97936
GARFIELD RIDGE,15766.84262
GREATER GRAND CROSSING,13063.32784
LOGAN SQUARE,14954.55858
FULLER PARK,12750.28226
EDISON PARK,18749.92308
NORTH CENTER,16358.57118
WEST LAWN,22612.28967
NEW CITY,16270.09394
NORWOOD PARK,19066.01754
ASHBURN,20145.45023
IRVING PARK,15833.01481
OHARE,106502.4032
LOOP,1154623.226
FOREST GLEN,22506.38641
BRIGHTON PARK,15669.25131
NORTH LAWNDALE,17661.37174
OAKLAND,22757.39252
ROGERS PARK,25063.95896
NEAR NORTH SIDE,243510.7619
LAKE VIEW,35483.42541
HUMBOLDT PARK,16377.57798
HEGEWISCH,12238.35168
NEAR SOUTH SIDE,346281.1207
EAST SIDE,12885.86294
ROSELAND,11945.14384
WEST TOWN,17202.36061
GAGE PARK,14265.60513
BELMONT CRAGIN,14638.35662
UPTOWN,43852.17167
AUSTIN,18483.56736
HYDE PARK,43541.86408
NEAR WEST SIDE,85798.80865
AVALON PARK,15436.47447
LINCOLN PARK,32322.0082
WASHINGTON HEIGHTS,14393.33638
ARCHER HEIGHTS,20489.03412
AVONDALE,16197.71355
PORTAGE PARK,15386.94493
HERMOSA,15269.63291
LINCOLN SQUARE,16754.32314
ARMOUR SQUARE,25015.03285
WEST ENGLEWOOD,9943.315
